"Austronesian","Sulawesi",,,tvl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,7,6,5,3,1,1,,,,3,1,3,,,2,,,1,1,9,,,5,2,,,,,,,,6,,2,,,,,5,2,,,,2,3,3,,,,,,5,,2,1,,2,2,2,2,1,1,,1,,,,,,6,3,,2,2,2,,,,,,,,,,,3,4,8,5,3,2,,,,4,6,,,,,1,,,,3,2,2,1,,,,,,,,,,,,,,,,,,1,,,,1,4,4,13,3,,,,,,,,,,,,,,,,,,,,,,,1
"Austronesian","Sulawesi",,,ttn,1,2,3,2,4,1,1,2,,,,1,3,1,,,,,1,1,,,,,,,,,1,,,,,,,7,4,,,1,2,,,,,,,,2,,,,,,9,,,2,2,,4,,,,,,,,1,,,,,5,5,2,,,,,,,,,,,2,,1,2,1,2,1,2,2,2,1,,1,,,,,2,2,2,1,4,4,4,,,,,,,,4,,,,,,,,,2,,,1,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,1,4,4,2,3,,2,,,,4,1,7,4,,,,,,,,,,,,,,
"Austronesian","Sulawesi",,,tgk,1,2,2,2,1,1,1,5,,,,1,2,1,2,8,1,5,1,1,,,,,,,,,1,1,,,,,,7,,,,1,1,,,,,,,6,,,,3,,,9,1,,,,,2,,,,,,,1,,,,,,5,,,,,,,,,,,,,2,,1,2,1,2,2,2,2,1,1,,1,,,,,2,2,2,1,4,4,4,,,2,4,3,1,1,,,2,,,,,,4,4,,,,1,5,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,4,4,2,3,,2,,,,4,1,7,4,,,,,,,,,,,,,,
"Austronesian","Sulawesi",,,tag,3,2,3,2,2,1,1,2,1,2,,1,2,1,6,8,6,1,1,1,1,3,1,2,3,5,5,2,1,1,1,1,2,2,2,7,4,4,3,,,5,,1,3,1,1,6,3,5,2,1,1,3,,2,6,7,1,3,,2,1,1,4,2,2,1,1,1,4,1,4,1,1,2,4,1,1,3,1,2,4,4,5,1,3,,2,2,,,2,3,6,1,1,,1,6,,,,,3,1,1,,4,5,1,1,1,,1,1,1,4,2,2,3,4,3,3,2,2,2,1,7,1,1,3,1,1,1,,4,5,1,3,2,2,1,2,2,,1,,,,,1,1,1,2,1,,,,3,1,,,,1,4,4,9,3,,,,,,,,,,,,,,,,,,1,,1,6,4,
"Austronesian","Sulawesi",,,sun,,,,,,,,,,,,,,,1,3,5,,,,,,,,,,,,1,1,,,,,,5,4,,,,4,,,,,,,6,,,,2,,,9,,,,,,,,,,,,,,1,2,4,2,2,5,,,,,,,,,,,,,2,,1,2,,2,2,2,2,1,1,,1,,,,,3,1,2,1,4,4,4,,,1,,1,1,1,4,,1,,,,,,2,4,,,,1,,1,1,2,,,,1,,,,,,,,,,,,,,,,,2,,,,,1,,,,1,4,4,2,3,,2,,,,4,1,7,4,,,,,,,,,,,,,,
"Austronesian","Sulawesi",,,ruk,3,1,4,4,2,1,1,2,,,,1,2,1,,,,,1,5,,,,,,,,,4,1,,,,,,1,,,,,,,,,,,,,,,,,,,9,,,,1,,2,,,,,,,,,1,1,1,3,1,,,,,,,,,,,,,7,2,2,2,,2,2,3,1,1,7,2,2,,,,,1,6,2,,4,5,5,,,,2,,,,,,,,,,,,2,3,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,4,4,16,3,,,,,,,,,,,,,,,,,,5,,1,6,4,
"Austronesian","Sulawesi",,,poh,1,3,1,1,1,1,1,2,,,,1,3,1,,,,,1,1,,,,,,,,,3,1,,,,,,9,,,,,1,,,,3,2,1,,3,,,,,,9,,,,3,,2,2,4,2,,,,,,,,,,4,,,,,,,,1,1,,,,2,,1,2,1,2,3,2,2,2,1,,1,,,,,3,6,3,1,4,4,4,,,,,,,,,,,,,,,,,2,,,,6,,,,,,,,,,,,,1,2,,1,,,,,,,,,2,,,,,1,,,,1,4,4,2,3,,2,,,,4,1,7,4,,,,,,,,,,,,,,
"Austronesian","Sulawesi",,,pal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,1,1,1,1,3,,,5,5,,,,,,2,6,,2,,2,1,1,9,2,6,,,,2,,,,,,,2,1,,,,,1,5,1,1,2,,,,,,,,,2,,1,2,1,2,2,1,1,1,1,,1,,,,,1,6,2,1,4,4,3,,,2,,5,2,2,3,,1,,,,,,2,2,,,,4,3,,,,1,,,1,,,,,1,2,,,,,,,,,,,,,,,,1,,,,1,4,4,2,3,,2,,,,4,1,7,4,,,,,,,,,,,,,,
"Austronesian","Sulawesi",,,mok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,1,1,1,8,6,5,,2,1,,,,3,,1,,,,,,1,1,9,1,,,3,,2,,,,,,,1,,,,,,4,5,2,1,2,2,1,3,,,4,5,1,2,,3,2,,2,3,2,2,2,1,,1,,,,,1,1,1,1,4,4,4,,,,5,,,,,,,,,,,,,2,,,,1,3,1,1,2,,,,,3,1,1,,1,2,,,,,,,,,,,,,,,,1,,,,1,4,4,2,3,,2,,,,4,1,7,4,,,,,,,,,,,,,,
"Austronesian","Sulawesi",,,mal,3,1,5,4,2,1,1,2,1,2,,1,2,1,6,8,1,5,1,1,1,1,1,3,2,5,5,2,1,1,1,3,1,1,1,9,,4,1,1,4,5,,1,5,1,,6,1,2,1,3,1,3,7,,6,6,1,3,4,2,1,1,4,5,,1,,1,4,2,4,1,4,4,1,2,2,3,3,1,1,4,5,1,4,,2,2,1,2,2,2,5,2,1,,1,,,,,,5,1,1,4,4,4,2,2,1,1,1,1,1,,2,1,3,4,3,3,2,2,2,1,7,,1,5,1,1,1,4,4,5,,1,1,1,,2,2,,1,,,,,1,1,1,1,2,,,,2,1,,,,1,4,4,12,3,,,,,,,,,,,,,,,,,,4,,1,6,4,
"Austronesian","Sulawesi",,,kwa,2,2,3,1,1,1,1,2,,,,1,1,1,6,8,1,,1,1,,,,,,,,,,,,,,,,7,4,4,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,5,4,2,2,,,,,,,,,2,,1,2,1,2,,2,2,1,,,,,,,,,,,,4,,4,,,,4,,,,1,,,,,,,,2,2,,,,,,1,1,2,,,,2,,,,,1,2,,,,,,,,,,,,,,,,1,,,,1,4,4,2,3,,2,,,,4,1,7,4,,,,,,,,,,,,,,
